rank,index,tier,score,hair_style,hair,eyes,suit,shirt,skin,image,seed
20,494,Legendary,114.8622,Fringe / Bangs,Charcoal,Amber,Midnight Navy,Mint,Brown,0494.png,24172911
21,705,Legendary,114.5586,Buzz Cut,White,Amber,Forest Green,Peach,Deep Brown,0705.png,25843820
22,503,Legendary,114.2944,Buzz Cut,Purple,Pure White,White,Rose,Olive,0503.png,24244182
23,103,Legendary,114.2549,Long,Dark Brown,Emerald,White,Sand,Light,0103.png,21076582
24,58,Legendary,113.9921,Classic Cut,Jet Black,Emerald,White,Butter,Medium,0058.png,20720227
25,954,Legendary,113.9588,Fringe / Bangs,Jet Black,Periwinkle,White,Peach,Tan,0954.png,27815651
26,667,Legendary,113.9236,Side Part,Blue,Amber,Denim Blue,Ice Blue,Porcelain,0667.png,25542898
27,967,Legendary,113.7622,Spiky,Green,Tangerine,White,Sky,Brown,0967.png,27918598
28,1025,Legendary,113.7249,Side Part,Dark Brown,Amber,Denim Blue,Butter,Deep Brown,1025.png,28377900
29,18,Legendary,113.071,Long,Jet Black,Hot Pink,White,Sand,Tan,0018.png,20403467
30,1000,Legendary,112.5458,Buzz Cut,Blue,Lemon,Forest Green,Pale Blue,Olive,1000.png,28179925
31,701,Legendary,112.5286,Spiky,Blue,Amber,Navy,Lavender,Tan,0701.png,25812144
32,502,Legendary,112.4748,Long,Charcoal,Emerald,White,Pale Blue,Olive,0502.png,24236263
33,178,Legendary,112.3055,Side Part,Blue,Hot Pink,White,Butter,Medium,0178.png,21670507
34,829,Legendary,112.2697,Side Part,Silver,Pure White,Maroon,Cream,Medium,0829.png,26825776
35,78,Legendary,112.2629,Fringe / Bangs,Blond,X Black,White,Sand,Porcelain,0078.png,20878607
36,26,Legendary,111.952,Buzz Cut,Orange,Ice Blue,White,Pale Blue,Light,0026.png,20466819
37,1022,Legendary,111.6536,Classic Cut,Auburn,Crimson,White,Butter,Light,1022.png,28354143
38,113,Legendary,111.6505,Spiky,Coral,Amber,Maroon,Ice Blue,Deep Brown,0113.png,21155772
39,578,Legendary,111.3549,Buzz Cut,Dark Brown,Raspberry,White,Sage,Brown,0578.png,24838107
40,990,Legendary,111.0027,Spiky,White,Raspberry,White,Sand,Porcelain,0990.png,28100735
41,669,Legendary,110.6888,Fringe / Bangs,Purple,Amber,Black,Cream,Deep Brown,0669.png,25558736
42,43,Legendary,110.6236,Long,Green,Bubblegum,White,Sky,Medium,0043.png,20601442
43,684,Legendary,110.5327,Long,Dark Brown,X Blue,White,Blush,Olive,0684.png,25677521
44,534,Legendary,110.4561,Classic Cut,Magenta,Amber,Teal,Butter,Porcelain,0534.png,24489671
45,378,Legendary,110.4187,Classic Cut,Brown,Crimson,Teal,Pale Blue,Olive,0378.png,23254307
46,460,Legendary,109.9109,Side Part,Pale Blond,Crimson,Maroon,Sage,Medium,0460.png,23903665
47,1023,Legendary,109.811,Buzz Cut,Yellow,Aqua,White,Pale Blue,Light,1023.png,28362062
48,895,Legendary,109.6412,Buzz Cut,Blond,X Black,White,Sage,Olive,0895.png,27348430
49,871,Legendary,109.444,Side Part,Brown,Tangerine,Midnight Navy,Mint,Porcelain,0871.png,27158374
50,517,Legendary,109.3924,Classic Cut,Pale Blond,Bubblegum,Maroon,Peach,Fair,0517.png,24355048
51,545,Legendary,109.3713,Long,Pale Blond,Crimson,Midnight Navy,Sage,Deep Brown,0545.png,24576780
52,193,Legendary,109.288,Spiky,Orange,Amber,Espresso,White,Deep Brown,0193.png,21789292
53,626,Legendary,109.1681,Buzz Cut,Jet Black,Lemon,Slate Grey,Sage,Tan,0626.png,25218219
54,522,Legendary,109.0771,Classic Cut,Blond,X Blue,White,Peach,Medium,0522.png,24394643
55,435,Legendary,108.8884,Spiky,Magenta,Raspberry,White,Butter,Light,0435.png,23705690
56,566,Epic,108.8696,Side Part,Blue,Crimson,Midnight Navy,Lavender,Medium,0566.png,24743079
57,617,Epic,108.6535,Fringe / Bangs,Purple,Amber,Gold,Blush,Brown,0617.png,25146948
58,627,Epic,108.5105,Fringe / Bangs,Silver,Crimson,Black,Cream,Porcelain,0627.png,25226138
59,474,Epic,108.3045,Fringe / Bangs,Teal,Royal Blue,White,Pale Blue,Medium,0474.png,24014531
60,658,Epic,108.2266,Buzz Cut,Purple,Amber,Light Grey,Rose,Tan,0658.png,25471627
61,612,Epic,107.9023,Side Part,Silver,Lemon,Black,Sky,Tan,0612.png,25107353
62,660,Epic,107.8071,Fringe / Bangs,White,Cyan,White,Rose,Light,0660.png,25487465
63,34,Epic,107.7647,Buzz Cut,Brown,Crimson,Steel Grey,Mint,Brown,0034.png,20530171
64,452,Epic,107.6933,Buzz Cut,Orange,Lemon,Plum,Pale Blue,Brown,0452.png,23840313
65,553,Epic,107.6579,Fringe / Bangs,Pale Blond,Amethyst,Midnight Navy,Pale Blue,Fair,0553.png,24640132
66,682,Epic,107.5684,Long,Chestnut,Amber,Slate Grey,Mint,Tan,0682.png,25661683
67,501,Epic,107.4418,Long,Jet Black,Lemon,Teal,Blush,Brown,0501.png,24228344
68,441,Epic,107.1893,Side Part,Green,Turquoise,White,Sage,Fair,0441.png,23753204
69,772,Epic,106.7902,Side Part,Chestnut,Amber,Espresso,Ice Blue,Deep Brown,0772.png,26374393
70,213,Epic,106.7142,Fringe / Bangs,Chestnut,Amber,Gold,Lavender,Brown,0213.png,21947672
71,621,Epic,106.4854,Spiky,Silver,Pure White,Teal,Ice Blue,Medium,0621.png,25178624
72,437,Epic,106.4743,Buzz Cut,Pine Green,Aqua,White,Sky,Deep Brown,0437.png,23721528
73,704,Epic,106.4255,Classic Cut,Brown,X Black,Slate Grey,Peach,Porcelain,0704.png,25835901
74,369,Epic,106.2768,Long,Teal,Amber,Gold,Ivory,Brown,0369.png,23183036
75,745,Epic,106.2741,Buzz Cut,Brown,Pure White,Slate Grey,Ice Blue,Tan,0745.png,26160580
76,732,Epic,105.9487,Buzz Cut,Auburn,Amber,Light Grey,Sand,Brown,0732.png,26057633
77,1052,Epic,105.7411,Spiky,Violet,Amber,Espresso,Butter,Brown,1052.png,28591713
78,1056,Epic,105.7329,Classic Cut,Magenta,Tangerine,Midnight Navy,Pale Blue,Olive,1056.png,28623389
79,589,Epic,105.6276,Buzz Cut,Brown,Turquoise,Maroon,Peach,Medium,0589.png,24925216
80,19,Epic,105.3574,Side Part,Teal,Turquoise,White,Blush,Brown,0019.png,20411386
81,401,Epic,105.3154,Fringe / Bangs,Pink,Amber,Light Grey,Lavender,Porcelain,0401.png,23436444
82,328,Epic,105.2322,Side Part,Violet,Emerald,White,Butter,Fair,0328.png,22858357
83,595,Epic,105.0777,Spiky,Chestnut,Amber,Navy,Rose,Porcelain,0595.png,24972730
84,887,Epic,105.0288,Classic Cut,Sky Blue,Bubblegum,White,Sky,Light,0887.png,27285078
85,487,Epic,104.8561,Spiky,Jet Black,Turquoise,Midnight Navy,Pale Blue,Olive,0487.png,24117478
86,27,Epic,104.831,Buzz Cut,Chestnut,Lemon,Midnight Navy,Ice Blue,Deep Brown,0027.png,20474738
87,905,Epic,104.8264,Buzz Cut,Charcoal,Lemon,Denim Blue,Sand,Deep Brown,0905.png,27427620
88,1109,Epic,104.6858,Classic Cut,Yellow,Aqua,White,Sky,Tan,1109.png,29043096
89,737,Epic,104.5764,Classic Cut,Pale Blond,Bubblegum,Midnight Navy,Off White,Light,0737.png,26097228
90,189,Epic,104.477,Buzz Cut,Jet Black,Crimson,Light Grey,Mint,Brown,0189.png,21757616
91,192,Epic,104.304,Fringe / Bangs,Brown,Pure White,Slate Grey,Ivory,Medium,0192.png,21781373
92,716,Epic,104.2972,Long,Charcoal,Lemon,Brown,White,Medium,0716.png,25930929
93,175,Epic,104.2163,Classic Cut,Brown,Lemon,Cocoa,Rose,Tan,0175.png,21646750
94,771,Epic,104.1691,Classic Cut,Teal,Amber,Denim Blue,Blush,Tan,0771.png,26366474
95,913,Epic,104.1183,Classic Cut,Green,Lemon,Espresso,Sand,Deep Brown,0913.png,27490972
96,703,Epic,104.0638,Spiky,Silver,Pure White,Teal,Blush,Medium,0703.png,25827982
97,593,Epic,103.9136,Classic Cut,Coral,Amber,Black,Rose,Porcelain,0593.png,24956892
98,806,Epic,103.7306,Spiky,Blond,Lemon,Slate Grey,Blush,Olive,0806.png,26643639
99,255,Epic,103.5708,Side Part,Silver,X Blue,Maroon,Mint,Brown,0255.png,22280270
100,126,Epic,103.3925,Buzz Cut,Sandy,Amber,Bronze,Rose,Porcelain,0126.png,21258719
101,281,Epic,103.3519,Long,Coral,Cyan,White,Rose,Brown,0281.png,22486164
102,597,Epic,103.0437,Buzz Cut,Silver,Gold,Forest Green,Pale Blue,Olive,0597.png,24988568
103,908,Epic,102.8161,Fringe / Bangs,Orange,Amber,Cocoa,Ivory,Deep Brown,0908.png,27451377
104,480,Epic,102.8059,Classic Cut,Auburn,Lemon,Forest Green,Pale Blue,Brown,0480.png,24062045
105,410,Epic,102.6623,Buzz Cut,Pink,Lemon,Brown,Ice Blue,Deep Brown,0410.png,23507715
106,319,Epic,102.6262,Fringe / Bangs,Blue,Hot Pink,Maroon,Pale Blue,Olive,0319.png,22787086
107,151,Epic,102.5715,Buzz Cut,Dark Brown,Crimson,Plum,Off White,Tan,0151.png,21456694
108,1076,Epic,102.4917,Long,Blue,Crimson,Teal,Ivory,Medium,1076.png,28781769
109,689,Epic,102.4112,Buzz Cut,Brown,Tangerine,Black,Butter,Tan,0689.png,25717116
110,119,Epic,102.3608,Spiky,Silver,Royal Blue,Brown,Pale Blue,Light,0119.png,21203286
111,500,Epic,102.313,Spiky,Dark Brown,Ice Blue,Midnight Navy,Sand,Medium,0500.png,24220425
112,31,Epic,102.152,Fringe / Bangs,Pale Blond,Ice Blue,Maroon,White,Fair,0031.png,20506414
113,727,Epic,102.1301,Spiky,Sky Blue,Lemon,Forest Green,Peach,Olive,0727.png,26018038
114,672,Epic,102.0834,Spiky,Blue,Tangerine,Denim Blue,Butter,Deep Brown,0672.png,25582493
115,433,Epic,102.0671,Spiky,Silver,Royal Blue,Brown,Cream,Light,0433.png,23689852
116,451,Epic,102.053,Buzz Cut,Blond,Crimson,Espresso,Pale Blue,Medium,0451.png,23832394
117,987,Epic,102.0059,Buzz Cut,Magenta,Crimson,Denim Blue,Cream,Light,0987.png,28076978
118,1009,Epic,101.91,Side Part,Sky Blue,Amber,Light Grey,Off White,Porcelain,1009.png,28251196
119,156,Epic,101.9043,Long,Purple,Crimson,Brown,Ice Blue,Medium,0156.png,21496289
120,628,Epic,101.8985,Classic Cut,Blond,Crimson,Steel Grey,Cream,Medium,0628.png,25234057
121,854,Epic,101.8963,Side Part,Teal,Tangerine,Slate Grey,Pale Blue,Light,0854.png,27023751
122,288,Epic,101.8189,Classic Cut,Brown,Bubblegum,Teal,Off White,Fair,0288.png,22541597
123,14,Epic,101.8059,Long,Silver,Amethyst,Deep Purple,Peach,Light,0014.png,20371791
124,863,Epic,101.7665,Buzz Cut,Auburn,Amber,Black,Off White,Porcelain,0863.png,27095022
125,936,Epic,101.7513,Fringe / Bangs,Red,Lemon,Teal,Mint,Olive,0936.png,27673109
126,1024,Epic,101.6432,Long,Brown,X Black,Espresso,Lavender,Deep Brown,1024.png,28369981
127,120,Epic,101.6164,Side Part,Silver,Ice Blue,Brown,Mint,Deep Brown,0120.png,21211205
128,821,Epic,101.5273,Classic Cut,Blue,Raspberry,Slate Grey,Pale Blue,Fair,0821.png,26762424
129,1,Epic,101.4908,Classic Cut,Pine Green,Pure White,Midnight Navy,Pale Blue,Fair,0001.png,20268844
130,466,Epic,101.4044,Long,Sandy,Lemon,Gold,Sand,Medium,0466.png,23951179
131,93,Epic,101.3375,Spiky,Jet Black,Cyan,Slate Grey,Pale Blue,Olive,0093.png,20997392
132,48,Epic,101.2522,Spiky,Purple,Crimson,Steel Grey,Lavender,Fair,0048.png,20641037
133,289,Epic,101.2124,Fringe / Bangs,Pale Blond,X Black,Navy,Butter,Olive,0289.png,22549516
134,892,Epic,101.2088,Classic Cut,Charcoal,Tangerine,Teal,Cream,Light,0892.png,27324673
135,354,Epic,101.208,Fringe / Bangs,Silver,Turquoise,Forest Green,Ice Blue,Deep Brown,0354.png,23064251
136,81,Epic,100.9856,Spiky,Blue,Pure White,Denim Blue,Rose,Deep Brown,0081.png,20902364
137,174,Epic,100.9688,Long,Dark Brown,Pure White,Slate Grey,Blush,Tan,0174.png,21638831
138,372,Epic,100.9273,Fringe / Bangs,Silver,X Black,Denim Blue,Off White,Olive,0372.png,23206793
139,620,Epic,100.9154,Long,White,Crimson,Plum,Butter,Porcelain,0620.png,25170705
140,718,Epic,100.91,Buzz Cut,Brown,Pure White,Bronze,Off White,Fair,0718.png,25946767
141,995,Epic,100.8372,Spiky,Blond,Lemon,Navy,Sky,Olive,0995.png,28140330
142,1053,Epic,100.8168,Fringe / Bangs,Pale Blond,Turquoise,Deep Purple,Peach,Olive,1053.png,28599632
143,1011,Epic,100.7804,Spiky,Silver,Periwinkle,Midnight Navy,Blush,Olive,1011.png,28267034
144,975,Epic,100.7208,Fringe / Bangs,Silver,Ice Blue,Navy,Pale Blue,Tan,0975.png,27981950
145,922,Epic,100.7122,Fringe / Bangs,Teal,Crimson,Moss,Sand,Olive,0922.png,27562243
146,355,Epic,100.7038,Spiky,Pale Blond,Cyan,Teal,Cream,Deep Brown,0355.png,23072170
147,1088,Epic,100.6473,Side Part,Blue,Emerald,Brown,Pale Blue,Tan,1088.png,28876797
148,918,Epic,100.6204,Classic Cut,Blond,Crimson,Denim Blue,Pale Blue,Medium,0918.png,27530567
149,856,Epic,100.552,Side Part,Charcoal,Tangerine,Light Grey,Peach,Olive,0856.png,27039589
150,687,Epic,100.4917,Spiky,Orange,X Black,Maroon,Ice Blue,Porcelain,0687.png,25701278
151,1027,Epic,100.477,Classic Cut,Jet Black,Bubblegum,Forest Green,Sky,Olive,1027.png,28393738
152,456,Epic,100.4106,Long,Sandy,Lemon,Gold,Ice Blue,Brown,0456.png,23871989
153,366,Epic,100.2796,Classic Cut,Blue,Pure White,Denim Blue,Rose,Medium,0366.png,23159279
154,438,Epic,100.2117,Long,Sandy,Amber,Cocoa,Butter,Deep Brown,0438.png,23729447
155,201,Epic,100.174,Side Part,Pale Blond,X Blue,Espresso,Cream,Tan,0201.png,21852644
156,247,Epic,100.1735,Side Part,Teal,Crimson,Denim Blue,Peach,Medium,0247.png,22216918
157,784,Epic,100.1596,Buzz Cut,Chestnut,Crimson,Moss,Pale Blue,Olive,0784.png,26469421
158,568,Epic,100.0374,Fringe / Bangs,Magenta,Pure White,Forest Green,Sand,Brown,0568.png,24758917
159,74,Epic,100.0069,Long,Charcoal,Lemon,Black,Blush,Deep Brown,0074.png,20846931
160,875,Epic,100.0069,Long,Orange,Lemon,Black,Blush,Deep Brown,0875.png,27190050
161,911,Epic,99.9928,Spiky,Teal,Lemon,Light Grey,Sage,Medium,0911.png,27475134
162,977,Epic,99.9064,Buzz Cut,Brown,X Blue,Slate Grey,Rose,Tan,0977.png,27997788
163,210,Epic,99.8824,Classic Cut,Silver,Ice Blue,Bronze,Cream,Olive,0210.png,21923915
164,79,Epic,99.8641,Classic Cut,Red,Lemon,Plum,Rose,Tan,0079.png,20886526
165,697,Epic,99.8432,Spiky,Sky Blue,Amber,Cocoa,Ice Blue,Deep Brown,0697.png,25780468
166,970,Epic,99.8242,Long,Red,Lemon,Navy,Ice Blue,Medium,0970.png,27942355
167,38,Rare,99.824,Fringe / Bangs,White,Bubblegum,Slate Grey,Sand,Tan,0038.png,20561847
168,770,Rare,99.8223,Fringe / Bangs,Pale Blond,Emerald,Steel Grey,Mint,Brown,0770.png,26358555
169,864,Rare,99.8041,Side Part,Green,Bubblegum,Midnight Navy,Lavender,Fair,0864.png,27102941
170,436,Rare,99.7938,Long,Silver,X Blue,Maroon,Ivory,Tan,0436.png,23713609
171,479,Rare,99.7045,Fringe / Bangs,Magenta,Tangerine,Light Grey,Cream,Tan,0479.png,24054126
172,446,Rare,99.6088,Classic Cut,Pale Blond,Turquoise,Plum,Sand,Light,0446.png,23792799
173,127,Rare,99.5664,Buzz Cut,Pale Blond,Raspberry,Forest Green,Ice Blue,Light,0127.png,21266638
174,232,Rare,99.5334,Side Part,Silver,Turquoise,Moss,Off White,Fair,0232.png,22098133
175,886,Rare,99.4539,Side Part,Pale Blond,Ice Blue,Moss,Lavender,Medium,0886.png,27277159
176,1058,Rare,99.372,Fringe / Bangs,Blue,Emerald,Slate Grey,Mint,Olive,1058.png,28639227
177,492,Rare,99.3699,Side Part,Pale Blond,Ice Blue,Moss,Rose,Porcelain,0492.png,24157073
178,332,Rare,99.3485,Classic Cut,Blond,Bubblegum,Slate Grey,Cream,Medium,0332.png,22890033
179,832,Rare,99.3416,Long,Teal,Pure White,Moss,Pale Blue,Fair,0832.png,26849533
180,315,Rare,99.338,Long,Jet Black,Ice Blue,Slate Grey,Mint,Medium,0315.png,22755410
181,840,Rare,99.3302,Long,Silver,Hot Pink,Espresso,Sand,Porcelain,0840.png,26912885
182,477,Rare,99.3221,Side Part,Charcoal,Aqua,Slate Grey,Peach,Olive,0477.png,24038288
183,680,Rare,99.29,Classic Cut,Red,Lemon,Brown,Blush,Tan,0680.png,25645845
184,1043,Rare,99.2612,Spiky,Charcoal,Tangerine,Brown,Blush,Fair,1043.png,28520442
185,340,Rare,99.2604,Spiky,Yellow,Pure White,Slate Grey,Cream,Deep Brown,0340.png,22953385
186,237,Rare,99.2013,Long,Coral,Lemon,Denim Blue,Mint,Brown,0237.png,22137728
187,269,Rare,99.1161,Fringe / Bangs,Pale Blond,Amethyst,Denim Blue,Butter,Olive,0269.png,22391136
188,579,Rare,99.0697,Long,Silver,Aqua,Bronze,Mint,Olive,0579.png,24846026
189,677,Rare,99.045,Spiky,Chestnut,Lemon,Plum,Sage,Medium,0677.png,25622088
190,184,Rare,99.0403,Long,Pale Blond,X Black,Light Grey,White,Light,0184.png,21718021
191,1070,Rare,99.0335,Fringe / Bangs,Teal,Bubblegum,Slate Grey,Peach,Deep Brown,1070.png,28734255
192,252,Rare,98.8477,Classic Cut,Blond,Pure White,Midnight Navy,White,Fair,0252.png,22256513
193,792,Rare,98.7705,Classic Cut,Dark Brown,Tangerine,Deep Purple,Blush,Tan,0792.png,26532773
194,714,Rare,98.7425,Classic Cut,Silver,Emerald,Plum,Sky,Deep Brown,0714.png,25915091
195,287,Rare,98.7405,Long,Blue,Bubblegum,Forest Green,Sage,Light,0287.png,22533678
196,777,Rare,98.6491,Fringe / Bangs,Magenta,Tangerine,Deep Purple,Butter,Fair,0777.png,26413988
197,624,Rare,98.6245,Classic Cut,Pale Blond,Gold,Navy,Peach,Deep Brown,0624.png,25202381
198,815,Rare,98.6229,Fringe / Bangs,Dark Brown,Turquoise,Light Grey,Cream,Fair,0815.png,26714910
199,243,Rare,98.5676,Fringe / Bangs,Blue,Gold,Maroon,Sage,Fair,0243.png,22185242
200,670,Rare,98.5349,Classic Cut,Jet Black,Hot Pink,Gold,Cream,Porcelain,0670.png,25566655
201,957,Rare,98.524,Spiky,Sky Blue,Lemon,Espresso,Mint,Brown,0957.png,27839408
202,1069,Rare,98.4823,Fringe / Bangs,Violet,Lemon,Moss,White,Deep Brown,1069.png,28726336
203,231,Rare,98.4273,Side Part,Silver,X Blue,Teal,Sage,Olive,0231.png,22090214
204,604,Rare,98.4165,Spiky,White,Tangerine,Plum,White,Brown,0604.png,25044001
205,786,Rare,98.4091,Fringe / Bangs,Orange,Pure White,Brown,White,Fair,0786.png,26485259
206,345,Rare,98.3971,Side Part,Yellow,Crimson,Deep Purple,Peach,Porcelain,0345.png,22992980
207,557,Rare,98.387,Side Part,Jet Black,Turquoise,Moss,Rose,Fair,0557.png,24671808
208,759,Rare,98.365,Fringe / Bangs,Silver,Amethyst,Light Grey,White,Deep Brown,0759.png,26271446
209,294,Rare,98.3105,Side Part,Jet Black,Cyan,Maroon,Blush,Fair,0294.png,22589111
210,1064,Rare,98.3101,Buzz Cut,Pale Blond,Gold,Plum,Butter,Medium,1064.png,28686741
211,980,Rare,98.2986,Buzz Cut,Chestnut,Lemon,Teal,Ivory,Deep Brown,0980.png,28021545
212,331,Rare,98.2372,Side Part,Green,Crimson,Forest Green,Blush,Light,0331.png,22882114
213,629,Rare,98.2337,Side Part,Brown,Aqua,Espresso,Ivory,Deep Brown,0629.png,25241976
214,506,Rare,98.1954,Side Part,Brown,Gold,Bronze,Peach,Brown,0506.png,24267939
215,177,Rare,98.1475,Classic Cut,Silver,Cyan,Gold,Lavender,Olive,0177.png,21662588
216,71,Rare,98.1423,Spiky,Dark Brown,Pure White,Light Grey,Ivory,Light,0071.png,20823174
217,274,Rare,98.1027,Side Part,Dark Brown,Amethyst,Moss,Rose,Deep Brown,0274.png,22430731
218,431,Rare,98.086,Spiky,Purple,Aqua,Midnight Navy,Butter,Brown,0431.png,23674014
219,442,Rare,98.054,Classic Cut,Blond,Emerald,Maroon,Cream,Fair,0442.png,23761123
220,80,Rare,98.0515,Side Part,Jet Black,Royal Blue,Midnight Navy,Blush,Fair,0080.png,20894445
221,137,Rare,98.0004,Classic Cut,Dark Brown,Emerald,Maroon,Ivory,Brown,0137.png,21345828
222,861,Rare,97.9671,Fringe / Bangs,Dark Brown,Ice Blue,Midnight Navy,Ivory,Porcelain,0861.png,27079184
223,520,Rare,97.9263,Buzz Cut,Pale Blond,Cyan,Plum,Mint,Fair,0520.png,24378805
224,21,Rare,97.921,Long,Red,Lemon,Deep Purple,Blush,Brown,0021.png,20427224
225,636,Rare,97.9176,Buzz Cut,Jet Black,Raspberry,Light Grey,Peach,Light,0636.png,25297409
226,707,Rare,97.913,Side Part,Blue,Raspberry,Moss,Sand,Porcelain,0707.png,25859658
227,1075,Rare,97.8823,Buzz Cut,Purple,Tangerine,Deep Purple,Lavender,Fair,1075.png,28773850
228,781,Rare,97.8024,Classic Cut,Blond,Crimson,Plum,Off White,Fair,0781.png,26445664
229,1111,Rare,97.7297,Long,Pale Blond,Ice Blue,Light Grey,Mint,Olive,1111.png,29058934
230,341,Rare,97.7175,Buzz Cut,Blue,Hot Pink,Maroon,White,Porcelain,0341.png,22961304
231,462,Rare,97.707,Side Part,Pale Blond,Aqua,Cocoa,Cream,Light,0462.png,23919503
232,685,Rare,97.6766,Long,Brown,Turquoise,Moss,White,Medium,0685.png,25685440
233,142,Rare,97.6373,Side Part,Brown,Royal Blue,Steel Grey,Ice Blue,Light,0142.png,21385423
234,302,Rare,97.6278,Fringe / Bangs,Jet Black,Royal Blue,Midnight Navy,Blush,Olive,0302.png,22652463
235,664,Rare,97.6122,Long,Blond,Crimson,Gold,Sage,Brown,0664.png,25519141
236,7,Rare,97.5544,Classic Cut,Pink,Crimson,Brown,Mint,Light,0007.png,20316358
237,300,Rare,97.527,Side Part,Silver,Cyan,Brown,White,Tan,0300.png,22636625
238,339,Rare,97.504,Long,Brown,Raspberry,Deep Purple,Lavender,Olive,0339.png,22945466
239,363,Rare,97.4469,Fringe / Bangs,Yellow,Crimson,Gold,Butter,Medium,0363.png,23135522
240,472,Rare,97.3733,Buzz Cut,Pale Blond,Emerald,Steel Grey,Ivory,Brown,0472.png,23998693
241,874,Rare,97.3493,Fringe / Bangs,Sandy,Tangerine,Midnight Navy,Lavender,Tan,0874.png,27182131
242,323,Rare,97.3076,Side Part,Jet Black,Amethyst,Forest Green,Blush,Medium,0323.png,22818762
243,515,Rare,97.2921,Fringe / Bangs,Silver,Royal Blue,Forest Green,Blush,Fair,0515.png,24339210
244,789,Rare,97.2605,Classic Cut,Silver,Royal Blue,Forest Green,White,Fair,0789.png,26509016
245,132,Rare,97.2582,Long,Jet Black,Turquoise,Moss,Lavender,Medium,0132.png,21306233
246,12,Rare,97.1366,Spiky,Sandy,Lemon,Navy,Sage,Medium,0012.png,20355953
247,425,Rare,97.1148,Spiky,Jet Black,Gold,Steel Grey,Butter,Brown,0425.png,23626500
248,831,Rare,97.1106,Spiky,Silver,Gold,Espresso,Blush,Deep Brown,0831.png,26841614
249,999,Rare,97.0747,Classic Cut,Violet,X Black,Maroon,Peach,Olive,0999.png,28172006
250,755,Rare,97.0483,Spiky,Charcoal,Aqua,Slate Grey,Mint,Olive,0755.png,26239770
251,914,Rare,97.0213,Fringe / Bangs,Brown,Ice Blue,Black,Rose,Olive,0914.png,27498891
252,981,Rare,97.0183,Fringe / Bangs,Silver,Periwinkle,Navy,Butter,Olive,0981.png,28029464
253,95,Rare,97.0164,Side Part,Magenta,Aqua,Maroon,Sage,Olive,0095.png,21013230
254,691,Rare,97.0055,Classic Cut,Charcoal,Tangerine,Steel Grey,White,Light,0691.png,25732954
255,426,Rare,96.9908,Classic Cut,Magenta,Aqua,Teal,Pale Blue,Porcelain,0426.png,23634419
256,1057,Rare,96.8601,Long,Blond,Tangerine,Slate Grey,Ivory,Brown,1057.png,28631308
257,744,Rare,96.8586,Fringe / Bangs,Pale Blond,Hot Pink,Moss,Off White,Medium,0744.png,26152661
258,53,Rare,96.8342,Spiky,Auburn,Tangerine,Brown,Sand,Porcelain,0053.png,20680632
259,362,Rare,96.8096,Long,Dark Brown,Periwinkle,Slate Grey,Rose,Medium,0362.png,23127603
260,28,Rare,96.7998,Fringe / Bangs,Red,Pure White,Espresso,Pale Blue,Light,0028.png,20482657
261,222,Rare,96.7652,Classic Cut,Silver,Emerald,Denim Blue,White,Light,0222.png,22018943
262,1040,Rare,96.7138,Fringe / Bangs,Magenta,Tangerine,Bronze,Ice Blue,Porcelain,1040.png,28496685
