index,seed,style,hair_hex,skin_hex,eye_hex,suit_hex,shirt_hex,opaque
56,20704389,buzz,#A88C60,#FCDCBA,#FF508C,#3C424E,#F3F5F8,1924
57,20712308,fringe,#1E5A3C,#BA845A,#FF821E,#A06E28,#FABEC8,1948
58,20720227,classic,#121014,#CE9264,#3CDC78,#F3F5F8,#EEE6AA,1948
59,20728146,classic,#7A281E,#623C28,#FF3C3C,#6E1E5A,#DED6F6,1948
60,20736065,spiky,#28B4AA,#F2C79B,#3CFFBE,#1E5C2E,#CEEAD6,1950
61,20743984,spiky,#1E5A3C,#CE9264,#0C0F14,#A06E28,#F0C8D2,1950
62,20751903,spiky,#28B4AA,#BA845A,#C8FF5A,#781E22,#FAE2C8,1950
63,20759822,long,#FAC828,#FCDCBA,#1E5ADC,#8C929E,#DED6F6,1948
64,20767741,fringe,#5AC8FF,#BA845A,#AA50F0,#101014,#E2E8F0,1948
65,20775660,fringe,#7A281E,#845438,#AA50F0,#5A6270,#FFF6E8,1948
66,20783579,fringe,#28B4AA,#A8704A,#DC1E5A,#6E1E5A,#F0C8D2,1948
67,20791498,classic,#E650BE,#F2C79B,#8C64FF,#5A6270,#FABEC8,1948
68,20799417,long,#3C424E,#BA845A,#FFFFFF,#243028,#E2E8F0,1948
69,20807336,long,#A88C60,#A8704A,#FF821E,#101014,#C6D6E8,1948
70,20815255,fringe,#A88C60,#FCDCBA,#C8FF5A,#781E22,#FFF6E8,1948
71,20823174,spiky,#241A12,#E8B082,#FFFFFF,#8C929E,#FFF6E8,1950
72,20831093,side_part,#F06028,#F2C79B,#1D9BF0,#243028,#E8DAC4,1956
73,20839012,side_part,#E650BE,#623C28,#1D9BF0,#482E1A,#FAD0B0,1956
74,20846931,long,#3C424E,#623C28,#F0F078,#101014,#F0C8D2,1948
75,20854850,classic,#A88C60,#CE9264,#FFFFFF,#101014,#C8E2F0,1948
76,20862769,spiky,#FF82AA,#623C28,#78FFF0,#1A3C6E,#EEE6AA,1950
77,20870688,long,#1E5A3C,#E8B082,#C8FF5A,#C8CCD4,#FFF6E8,1948
78,20878607,fringe,#C49252,#FCDCBA,#0C0F14,#F3F5F8,#E8DAC4,1948
79,20886526,classic,#C83C28,#A8704A,#F0F078,#6E1E5A,#FABEC8,1948
80,20894445,side_part,#121014,#F2C79B,#1E5ADC,#181E2C,#F0C8D2,1956
81,20902364,spiky,#3C82F0,#623C28,#FFFFFF,#2C4664,#FABEC8,1950
82,20910283,fringe,#8250DC,#F2C79B,#3CFFBE,#781E22,#BCC8BE,1948
83,20918202,classic,#8C5A2C,#845438,#DC1E5A,#181E2C,#E8DAC4,1948
84,20926121,long,#7A281E,#FCDCBA,#FAC828,#A06E28,#C6D6E8,1948
85,20934040,fringe,#6EC850,#FCDCBA,#FF3C3C,#8C929E,#BCC8BE,1948
86,20941959,long,#C83C28,#F2C79B,#FF78C8,#3C2254,#F3F5F8,1948
87,20949878,long,#E8D2A8,#845438,#1D9BF0,#6E1E5A,#FFF6E8,1948
88,20957797,spiky,#783CA0,#CE9264,#FF78C8,#C8AA3C,#FAD0B0,1950
89,20965716,classic,#8C5A2C,#E8B082,#FF508C,#181E2C,#BCC8BE,1948
90,20973635,long,#8250DC,#E8B082,#FF508C,#3C2254,#F0C8D2,1948
91,20981554,side_part,#783CA0,#845438,#C8FF5A,#3C424E,#E2E8F0,1956
92,20989473,classic,#3C424E,#FCDCBA,#C8FF5A,#A06E28,#AAC4E2,1948
93,20997392,spiky,#121014,#BA845A,#00DCDC,#3C424E,#AAC4E2,1950
94,21005311,spiky,#FAC828,#845438,#78FFF0,#A06E28,#F0C8D2,1950
95,21013230,side_part,#E650BE,#BA845A,#3CFFBE,#781E22,#BCC8BE,1956
96,21021149,classic,#6EC850,#A8704A,#FAC828,#A06E28,#DED6F6,1948
97,21029068,fringe,#5C3A1E,#BA845A,#FF821E,#F3F5F8,#F0C8D2,1948
98,21036987,buzz,#FF82AA,#A8704A,#DC1E5A,#2C4664,#C8E2F0,1924
99,21044906,buzz,#C83C28,#CE9264,#FF78C8,#3C2254,#C8E2F0,1924
100,21052825,fringe,#1E5A3C,#623C28,#FF508C,#482E1A,#F3F5F8,1948
101,21060744,buzz,#C83C28,#BA845A,#1D9BF0,#2C4664,#F0C8D2,1924
102,21068663,long,#8C5A2C,#BA845A,#C8FF5A,#3C2254,#FAD0B0,1948
103,21076582,long,#241A12,#E8B082,#3CDC78,#F3F5F8,#E8DAC4,1948
104,21084501,buzz,#7A281E,#A8704A,#8C64FF,#A06E28,#C8E2F0,1924
105,21092420,long,#121014,#845438,#C8FF5A,#8C929E,#FAE2C8,1948
106,21100339,buzz,#3C424E,#623C28,#00DCDC,#3C424E,#F0C8D2,1924
107,21108258,side_part,#121014,#CE9264,#DC1E5A,#482E1A,#E8DAC4,1956
108,21116177,spiky,#F3F5F8,#FCDCBA,#1D9BF0,#101014,#C6D6E8,1950
109,21124096,spiky,#FF82AA,#F2C79B,#00DCDC,#2C4664,#F3F5F8,1950
110,21132015,fringe,#E650BE,#623C28,#1E5ADC,#3C424E,#C6D6E8,1948
111,21139934,long,#8C5A2C,#BA845A,#0C0F14,#482E1A,#C6D6E8,1948
112,21147853,side_part,#121014,#E8B082,#C8FF5A,#2E2820,#DED6F6,1956
113,21155772,spiky,#FF603C,#623C28,#FFB45A,#781E22,#C8E2F0,1950
114,21163691,side_part,#3C424E,#A8704A,#1D9BF0,#5C3E22,#C6D6E8,1956
115,21171610,fringe,#C49252,#A8704A,#FFFFFF,#C8AA3C,#C8E2F0,1948
116,21179529,classic,#783CA0,#A8704A,#78FFF0,#2E2820,#E8DAC4,1948
117,21187448,buzz,#1E5A3C,#F2C79B,#00DCDC,#8C929E,#DED6F6,1924
118,21195367,buzz,#3C424E,#E8B082,#8C64FF,#482E1A,#FABEC8,1924
119,21203286,spiky,#96969C,#E8B082,#1E5ADC,#5C3E22,#AAC4E2,1950
120,21211205,side_part,#96969C,#623C28,#5AC8FF,#5C3E22,#CEEAD6,1956
121,21219124,spiky,#E650BE,#E8B082,#0C0F14,#1E5C2E,#F3F5F8,1950
122,21227043,buzz,#1E5A3C,#E8B082,#0C0F14,#A06E28,#C6D6E8,1924
123,21234962,spiky,#783CA0,#FCDCBA,#FAC828,#8C929E,#CEEAD6,1950
124,21242881,buzz,#FF82AA,#A8704A,#5AC8FF,#5C3E22,#FAD0B0,1924
125,21250800,classic,#A88C60,#F2C79B,#C8FF5A,#A06E28,#FAE2C8,1948
126,21258719,buzz,#A88C60,#FCDCBA,#FFB45A,#A06E28,#FABEC8,1924
127,21266638,buzz,#E8D2A8,#E8B082,#DC1E5A,#1E5C2E,#C8E2F0,1924
128,21274557,spiky,#C83C28,#E8B082,#C8FF5A,#145448,#C6D6E8,1950
129,21282476,spiky,#5AC8FF,#E8B082,#1E5ADC,#482E1A,#EEE6AA,1950
130,21290395,spiky,#5AC8FF,#A8704A,#FF78C8,#243028,#FFF6E8,1950
131,21298314,long,#783CA0,#E8B082,#3CFFBE,#3C424E,#FAD0B0,1948
132,21306233,long,#121014,#CE9264,#78FFF0,#243028,#DED6F6,1948
133,21314152,classic,#6EC850,#CE9264,#C8FF5A,#3C424E,#BCC8BE,1948
134,21322071,side_part,#A88C60,#CE9264,#78FFF0,#5A6270,#FAD0B0,1956
135,21329990,long,#8250DC,#F2C79B,#3CDC78,#243028,#E2E8F0,1948
136,21337909,long,#FAC828,#CE9264,#FF508C,#3C424E,#DED6F6,1948
137,21345828,classic,#241A12,#845438,#3CDC78,#781E22,#FFF6E8,1948
138,21353747,long,#F06028,#A8704A,#C8FF5A,#101014,#F3F5F8,1948
139,21361666,classic,#5AC8FF,#F2C79B,#FF78C8,#145448,#AAC4E2,1948
140,21369585,buzz,#783CA0,#A8704A,#78FFF0,#C8AA3C,#FFF6E8,1924
141,21377504,spiky,#A88C60,#845438,#8C64FF,#181E2C,#CEEAD6,1950
142,21385423,side_part,#5C3A1E,#E8B082,#1E5ADC,#5A6270,#C8E2F0,1956
143,21393342,side_part,#A88C60,#FCDCBA,#FF821E,#101014,#C6D6E8,1956
144,21401261,spiky,#FF82AA,#845438,#FF821E,#A06E28,#F3F5F8,1950
145,21409180,classic,#241A12,#BA845A,#5AC8FF,#C8AA3C,#FFF6E8,1948
146,21417099,spiky,#7A281E,#FCDCBA,#00DCDC,#181E2C,#CEEAD6,1950
147,21425018,side_part,#C83C28,#A8704A,#C8FF5A,#3C2254,#FAE2C8,1956
148,21432937,long,#5AC8FF,#845438,#3CDC78,#145448,#FABEC8,1948
149,21440856,buzz,#A88C60,#CE9264,#5AC8FF,#1A3C6E,#FAD0B0,1924
150,21448775,spiky,#28B4AA,#FCDCBA,#C8FF5A,#2C4664,#CEEAD6,1950
151,21456694,buzz,#241A12,#A8704A,#FF3C3C,#6E1E5A,#E2E8F0,1924
152,21464613,buzz,#5C3A1E,#BA845A,#FAC828,#482E1A,#AAC4E2,1924
153,21472532,spiky,#A88C60,#F2C79B,#0C0F14,#2C4664,#CEEAD6,1950
154,21480451,fringe,#783CA0,#A8704A,#FF78C8,#2E2820,#FAE2C8,1948
155,21488370,classic,#1E5A3C,#845438,#FAC828,#1E5C2E,#DED6F6,1948
156,21496289,long,#8250DC,#CE9264,#FF3C3C,#5C3E22,#C8E2F0,1948
157,21504208,side_part,#241A12,#A8704A,#FAC828,#A06E28,#CEEAD6,1956
158,21512127,buzz,#FAC828,#F2C79B,#FF78C8,#482E1A,#FAD0B0,1924
159,21520046,classic,#5AC8FF,#BA845A,#00DCDC,#2C4664,#FFF6E8,1948
160,21527965,fringe,#F3F5F8,#FCDCBA,#8C64FF,#A06E28,#FFF6E8,1948
161,21535884,fringe,#8250DC,#845438,#FFFFFF,#8C929E,#BCC8BE,1948
162,21543803,classic,#A88C60,#E8B082,#78FFF0,#2C4664,#EEE6AA,1948
163,21551722,fringe,#783CA0,#CE9264,#78FFF0,#181E2C,#C6D6E8,1948
164,21559641,long,#C49252,#A8704A,#0C0F14,#1E5C2E,#FAD0B0,1948
165,21567560,long,#FF82AA,#CE9264,#1D9BF0,#3C2254,#FAD0B0,1948
166,21575479,classic,#F06028,#FCDCBA,#1E5ADC,#8C929E,#FABEC8,1948
167,21583398,long,#F06028,#FCDCBA,#1E5ADC,#C8AA3C,#CEEAD6,1948
168,21591317,side_part,#7A281E,#845438,#0C0F14,#1A3C6E,#E2E8F0,1956
169,21599236,classic,#241A12,#F2C79B,#3CFFBE,#101014,#EEE6AA,1948
170,21607155,spiky,#C49252,#A8704A,#AA50F0,#243028,#FAE2C8,1950
171,21615074,buzz,#FAC828,#E8B082,#C8FF5A,#181E2C,#BCC8BE,1924
172,21622993,side_part,#FF603C,#CE9264,#FAC828,#145448,#EEE6AA,1956
173,21630912,spiky,#241A12,#BA845A,#78FFF0,#2C4664,#DED6F6,1950
174,21638831,long,#241A12,#A8704A,#FFFFFF,#3C424E,#F0C8D2,1948
175,21646750,classic,#5C3A1E,#A8704A,#F0F078,#482E1A,#FABEC8,1948
176,21654669,long,#6EC850,#A8704A,#C8FF5A,#2C4664,#F3F5F8,1948
177,21662588,classic,#96969C,#BA845A,#00DCDC,#C8AA3C,#DED6F6,1948
178,21670507,side_part,#3C82F0,#CE9264,#FF508C,#F3F5F8,#EEE6AA,1956
179,21678426,classic,#5AC8FF,#BA845A,#FFFFFF,#181E2C,#DED6F6,1948
180,21686345,spiky,#A88C60,#BA845A,#3CDC78,#C8AA3C,#C6D6E8,1950
181,21694264,buzz,#5C3A1E,#845438,#FFB45A,#3C424E,#DED6F6,1924
182,21702183,classic,#F06028,#F2C79B,#FF78C8,#482E1A,#BCC8BE,1948
183,21710102,classic,#FF82AA,#FCDCBA,#1E5ADC,#3C2254,#DED6F6,1948
184,21718021,long,#E8D2A8,#E8B082,#0C0F14,#8C929E,#F3F5F8,1948
185,21725940,buzz,#F3F5F8,#FCDCBA,#5AC8FF,#5C3E22,#FABEC8,1924
186,21733859,side_part,#FF82AA,#A8704A,#5AC8FF,#3C2254,#CEEAD6,1956
187,21741778,classic,#FAC828,#845438,#0C0F14,#5C3E22,#E8DAC4,1948
188,21749697,buzz,#7A281E,#F2C79B,#FAC828,#243028,#C8E2F0,1924
189,21757616,buzz,#121014,#845438,#FF3C3C,#8C929E,#CEEAD6,1924
190,21765535,fringe,#783CA0,#A8704A,#3CFFBE,#3C2254,#FFF6E8,1948
191,21773454,side_part,#3C82F0,#F2C79B,#C8FF5A,#A06E28,#AAC4E2,1956
192,21781373,fringe,#5C3A1E,#CE9264,#FFFFFF,#3C424E,#FFF6E8,1948
193,21789292,spiky,#F06028,#623C28,#FFB45A,#2E2820,#F3F5F8,1950
194,21797211,classic,#3C82F0,#A8704A,#FAC828,#1E5C2E,#FABEC8,1948
195,21805130,spiky,#E650BE,#845438,#5AC8FF,#6E1E5A,#F0C8D2,1950
196,21813049,long,#8250DC,#A8704A,#C8FF5A,#6E1E5A,#EEE6AA,1948
197,21820968,classic,#E650BE,#623C28,#78FFF0,#482E1A,#AAC4E2,1948
198,21828887,buzz,#FF603C,#845438,#F0F078,#482E1A,#FABEC8,1924
199,21836806,classic,#8C5A2C,#623C28,#AA50F0,#243028,#FAE2C8,1948
200,21844725,buzz,#C49252,#FCDCBA,#3CDC78,#C8AA3C,#FFF6E8,1924
201,21852644,side_part,#E8D2A8,#A8704A,#1D9BF0,#2E2820,#FAE2C8,1956
202,21860563,fringe,#8C5A2C,#F2C79B,#1D9BF0,#1A3C6E,#F3F5F8,1948
203,21868482,buzz,#8250DC,#FCDCBA,#FF78C8,#2E2820,#E2E8F0,1924
204,21876401,spiky,#8C5A2C,#A8704A,#3CDC78,#3C424E,#FAD0B0,1950
205,21884320,side_part,#783CA0,#FCDCBA,#C8FF5A,#1E5C2E,#F3F5F8,1956
206,21892239,buzz,#FF82AA,#CE9264,#3CFFBE,#243028,#E2E8F0,1924
207,21900158,classic,#5AC8FF,#CE9264,#AA50F0,#6E1E5A,#F0C8D2,1948
208,21908077,long,#3C424E,#623C28,#DC1E5A,#3C2254,#BCC8BE,1948
209,21915996,side_part,#FF603C,#FCDCBA,#1E5ADC,#3C2254,#CEEAD6,1956
210,21923915,classic,#96969C,#BA845A,#5AC8FF,#A06E28,#FAE2C8,1948
211,21931834,side_part,#6EC850,#845438,#AA50F0,#101014,#E2E8F0,1956
212,21939753,long,#1E5A3C,#845438,#5AC8FF,#243028,#AAC4E2,1948
213,21947672,fringe,#8C5A2C,#845438,#FFB45A,#C8AA3C,#DED6F6,1948
214,21955591,side_part,#F06028,#FCDCBA,#1D9BF0,#243028,#F3F5F8,1956
215,21963510,side_part,#5AC8FF,#A8704A,#C8FF5A,#3C424E,#FABEC8,1956
216,21971429,classic,#5AC8FF,#BA845A,#FAC828,#5A6270,#FAD0B0,1948
217,21979348,side_part,#7A281E,#FCDCBA,#FF3C3C,#A06E28,#E8DAC4,1956
218,21987267,fringe,#6EC850,#F2C79B,#3CFFBE,#1A3C6E,#BCC8BE,1948
219,21995186,spiky,#241A12,#A8704A,#C8FF5A,#145448,#FFF6E8,1950
220,22003105,buzz,#121014,#E8B082,#DC1E5A,#1A3C6E,#C8E2F0,1924
221,22011024,fringe,#FAC828,#845438,#00DCDC,#3C2254,#C6D6E8,1948
222,22018943,classic,#96969C,#E8B082,#3CDC78,#2C4664,#F3F5F8,1948
223,22026862,side_part,#FF82AA,#CE9264,#5AC8FF,#145448,#BCC8BE,1956
224,22034781,long,#121014,#F2C79B,#1D9BF0,#101014,#E8DAC4,1948
225,22042700,long,#C83C28,#BA845A,#FAC828,#101014,#FABEC8,1948
226,22050619,spiky,#8250DC,#A8704A,#3CDC78,#5C3E22,#BCC8BE,1950
227,22058538,buzz,#8250DC,#F2C79B,#5AC8FF,#101014,#E8DAC4,1924
228,22066457,long,#C49252,#845438,#FAC828,#2E2820,#FABEC8,1948
229,22074376,long,#FF603C,#845438,#5AC8FF,#145448,#EEE6AA,1948
230,22082295,fringe,#7A281E,#BA845A,#FFFFFF,#A06E28,#AAC4E2,1948
231,22090214,side_part,#96969C,#BA845A,#1D9BF0,#145448,#BCC8BE,1956
232,22098133,side_part,#96969C,#F2C79B,#78FFF0,#243028,#E2E8F0,1956
233,22106052,side_part,#F06028,#A8704A,#1D9BF0,#5C3E22,#C8E2F0,1956
234,22113971,buzz,#FF603C,#CE9264,#FF508C,#C8AA3C,#DED6F6,1924
235,22121890,side_part,#6EC850,#FCDCBA,#DC1E5A,#243028,#E2E8F0,1956
236,22129809,side_part,#1E5A3C,#845438,#C8FF5A,#3C2254,#FABEC8,1956
237,22137728,long,#FF603C,#845438,#F0F078,#2C4664,#CEEAD6,1948
238,22145647,buzz,#FAC828,#E8B082,#3CFFBE,#1A3C6E,#FAE2C8,1924
239,22153566,long,#A88C60,#FCDCBA,#AA50F0,#1E5C2E,#EEE6AA,1948
240,22161485,classic,#A88C60,#F2C79B,#FF3C3C,#6E1E5A,#F0C8D2,1948
241,22169404,fringe,#FAC828,#623C28,#DC1E5A,#145448,#BCC8BE,1948
242,22177323,long,#5AC8FF,#E8B082,#DC1E5A,#A06E28,#FFF6E8,1948
243,22185242,fringe,#3C82F0,#F2C79B,#FAC828,#781E22,#BCC8BE,1948
244,22193161,buzz,#8C5A2C,#F2C79B,#FF78C8,#3C2254,#BCC8BE,1924
245,22201080,side_part,#FF603C,#BA845A,#3CDC78,#2C4664,#CEEAD6,1956
246,22208999,side_part,#FF82AA,#CE9264,#8C64FF,#482E1A,#DED6F6,1956
247,22216918,side_part,#28B4AA,#CE9264,#FF3C3C,#2C4664,#FAD0B0,1956
248,22224837,fringe,#783CA0,#623C28,#FF508C,#A06E28,#FFF6E8,1948
249,22232756,fringe,#6EC850,#BA845A,#FF78C8,#145448,#F3F5F8,1948
250,22240675,classic,#6EC850,#CE9264,#1D9BF0,#A06E28,#FFF6E8,1948
251,22248594,buzz,#5AC8FF,#A8704A,#8C64FF,#1A3C6E,#C6D6E8,1924
252,22256513,classic,#C49252,#F2C79B,#FFFFFF,#181E2C,#F3F5F8,1948
253,22264432,long,#FF82AA,#CE9264,#DC1E5A,#8C929E,#FAD0B0,1948
254,22272351,side_part,#6EC850,#FCDCBA,#5AC8FF,#5A6270,#C8E2F0,1956
255,22280270,side_part,#96969C,#845438,#1D9BF0,#781E22,#CEEAD6,1956
256,22288189,long,#C83C28,#845438,#FFFFFF,#2E2820,#F0C8D2,1948
257,22296108,buzz,#28B4AA,#CE9264,#78FFF0,#8C929E,#F0C8D2,1924
258,22304027,fringe,#F06028,#845438,#5AC8FF,#A06E28,#BCC8BE,1948
259,22311946,classic,#241A12,#623C28,#C8FF5A,#181E2C,#DED6F6,1948
260,22319865,buzz,#28B4AA,#CE9264,#FAC828,#145448,#FAE2C8,1924
261,22327784,fringe,#F06028,#623C28,#DC1E5A,#482E1A,#F0C8D2,1948
262,22335703,spiky,#7A281E,#FCDCBA,#FF821E,#3C2254,#FFF6E8,1950
263,22343622,side_part,#FF603C,#E8B082,#FF78C8,#1E5C2E,#AAC4E2,1956
264,22351541,side_part,#FF82AA,#845438,#FF821E,#3C2254,#E2E8F0,1956
265,22359460,side_part,#E8D2A8,#F2C79B,#1D9BF0,#482E1A,#FABEC8,1956
266,22367379,side_part,#C83C28,#BA845A,#00DCDC,#243028,#DED6F6,1956
267,22375298,spiky,#121014,#E8B082,#C8FF5A,#5A6270,#F0C8D2,1950
268,22383217,side_part,#F06028,#CE9264,#FF78C8,#3C2254,#C6D6E8,1956
269,22391136,fringe,#E8D2A8,#BA845A,#AA50F0,#2C4664,#EEE6AA,1948
270,22399055,spiky,#F06028,#623C28,#00DCDC,#482E1A,#DED6F6,1950
271,22406974,long,#FF603C,#623C28,#1D9BF0,#C8AA3C,#FAD0B0,1948
272,22414893,long,#5AC8FF,#BA845A,#AA50F0,#2C4664,#FFF6E8,1948
273,22422812,fringe,#241A12,#A8704A,#DC1E5A,#145448,#DED6F6,1948
274,22430731,side_part,#241A12,#623C28,#AA50F0,#243028,#FABEC8,1956
275,22438650,classic,#FF82AA,#A8704A,#3CFFBE,#2C4664,#EEE6AA,1948
276,22446569,fringe,#3C424E,#BA845A,#AA50F0,#101014,#E2E8F0,1948
277,22454488,fringe,#C83C28,#BA845A,#5AC8FF,#2E2820,#EEE6AA,1948
278,22462407,fringe,#A88C60,#BA845A,#1E5ADC,#482E1A,#E2E8F0,1948
279,22470326,spiky,#1E5A3C,#E8B082,#78FFF0,#1E5C2E,#C8E2F0,1950
280,22478245,spiky,#F3F5F8,#BA845A,#FF821E,#C8CCD4,#EEE6AA,1950
281,22486164,long,#FF603C,#845438,#00DCDC,#F3F5F8,#FABEC8,1948
282,22494083,long,#28B4AA,#CE9264,#F0F078,#482E1A,#FABEC8,1948
283,22502002,spiky,#783CA0,#E8B082,#C8FF5A,#1A3C6E,#DED6F6,1950
284,22509921,spiky,#C49252,#F2C79B,#5AC8FF,#C8AA3C,#CEEAD6,1950
285,22517840,classic,#FAC828,#BA845A,#0C0F14,#5A6270,#CEEAD6,1948
286,22525759,buzz,#1E5A3C,#A8704A,#00DCDC,#6E1E5A,#FFF6E8,1924
287,22533678,long,#3C82F0,#E8B082,#FF78C8,#1E5C2E,#BCC8BE,1948
288,22541597,classic,#5C3A1E,#F2C79B,#FF78C8,#145448,#E2E8F0,1948
289,22549516,fringe,#E8D2A8,#BA845A,#0C0F14,#1A3C6E,#EEE6AA,1948
290,22557435,spiky,#FF82AA,#623C28,#78FFF0,#482E1A,#C6D6E8,1950
291,22565354,long,#241A12,#E8B082,#5AC8FF,#A06E28,#E2E8F0,1948
292,22573273,long,#5C3A1E,#E8B082,#C8FF5A,#1A3C6E,#BCC8BE,1948
293,22581192,fringe,#FF82AA,#A8704A,#FFFFFF,#781E22,#F0C8D2,1948
294,22589111,side_part,#121014,#F2C79B,#00DCDC,#781E22,#F0C8D2,1956
295,22597030,fringe,#FAC828,#CE9264,#C8FF5A,#145448,#E8DAC4,1948
296,22604949,buzz,#3C424E,#FCDCBA,#FF508C,#8C929E,#EEE6AA,1924
297,22612868,long,#FF603C,#F2C79B,#1D9BF0,#A06E28,#E8DAC4,1948
298,22620787,buzz,#3C82F0,#A8704A,#C8FF5A,#101014,#F0C8D2,1924
299,22628706,spiky,#121014,#FCDCBA,#3CFFBE,#A06E28,#C6D6E8,1950
300,22636625,side_part,#96969C,#A8704A,#00DCDC,#5C3E22,#F3F5F8,1956
301,22644544,buzz,#3C82F0,#E8B082,#00DCDC,#A06E28,#DED6F6,1924
302,22652463,fringe,#121014,#BA845A,#1E5ADC,#181E2C,#F0C8D2,1948
